sigma,label
29.832,0
24.48,0
32.843,0
32.594,0
33.955,0
32.422,0
32.025,0
32.669,0
22.44,0
29.778,0
28.069,0
35.831,0
29.009,0
29.004,0
31.095,0
31.54,0
36.896,0
31.273,0
32.471,0
35.463,0
35.682,0
28.926,0
36.535,0
27.663,0
33.423,0
35.021,0
33.034,0
31.435,0
36.622,0
32.984,0
34.232,0
36.727,0
30.911,0
36.454,0
34.66,0
30.265,0
32.093,0
28.39,0
31.303,0
29.901,0
33.946,0
24.777,0
35.092,0
33.384,0
29.089,0
24.642,0
35.182,0
24.98,0
35.061,0
34.648,0
35.766,0
29.002,0
29.535,0
36.215,0
30.921,0
32.177,0
36.664,0
33.694,0
34.255,0
31.002,0
36.857,0
32.165,0
22.867,0
29.827,0
29.305,0
33.574,0
30.334,0
28.677,0
32.184,0
31.361,0
25.946,0
35.804,0
36.061,0
34.698,0
34.008,0
33.953,0
34.622,0
33.488,0
30.325,0
35.086,0
18.125,0
33.667,0
32.037,0
28.26,0
35.188,0
30.294,0
35.374,0
32.468,0
36.461,0
32.354,0
26.911,0
33.474,0
35.784,0
32.553,0
36.55,0
36.706,0
34.904,0
27.518,0
31.395,0
32.51,0
35.26,0
36.257,0
33.122,0
32.12,0
35.919,0
30.892,0
33.395,0
35.966,0
32.991,0
30.63,0
33.712,0
34.793,0
34.664,0
30.098,0
32.899,0
36.561,0
36.784,0
36.702,0
31.952,0
33.234,0
31.902,0
33.354,0
23.639,0
30.842,0
30.478,0
35.701,0
16.087,0
36.656,0
34.111,0
36.744,0
28.519,0
33.806,0
31.572,0
28.929,0
36.591,0
28.824,0
35.317,0
27.345,0
31.667,0
29.948,0
31.545,0
35.278,0
29.052,0
28.047,0
36.231,0
36.644,0
30.951,0
30.033,0
34.975,0
36.307,0
34.259,0
31.853,0
36.412,0
35.374,0
33.473,0
33.38,0
31.268,0
30.546,0
36.849,0
33.627,0
20.462,0
29.584,0
28.207,0
29.962,0
32.166,0
16.238,0
34.425,0
33.094,0
29.726,0
30.605,0
34.96,0
31.226,0
29.557,0
28.122,0
28.868,0
26.665,0
30.985,0
32.995,0
34.606,0
35.228,0
35.588,0
