epoch,train_loss,val_loss,train_acc,val_acc
1,0.4343283176422119,0.252369225025177,0.8071743249893188,0.9014914035797119
2,0.32553234696388245,0.29698067903518677,0.858065664768219,0.8572242856025696
3,0.3019648790359497,0.24260947108268738,0.8684624433517456,0.89906907081604
4,0.2860422134399414,0.3390088379383087,0.8756293654441833,0.8356606960296631
5,0.27496111392974854,0.3045864403247833,0.8812921643257141,0.8627339005470276
6,0.2643866240978241,0.260994553565979,0.8859944343566895,0.8853424787521362
7,0.25735118985176086,0.24434542655944824,0.8892084956169128,0.8961242437362671
8,0.2506323456764221,0.2915023863315582,0.892258882522583,0.8661537170410156
9,0.24723832309246063,0.23364649713039398,0.8943435549736023,0.9045311808586121
10,0.24040892720222473,0.2370368391275406,0.8970878720283508,0.8959817886352539
11,0.23657004535198212,0.22822493314743042,0.8991671800613403,0.904816210269928
12,0.23382636904716492,0.21945853531360626,0.8998585343360901,0.9070485234260559
13,0.23090404272079468,0.2614743709564209,0.9021068215370178,0.8895221948623657
14,0.22728976607322693,0.23397447168827057,0.9028825759887695,0.9070960283279419
15,0.22364303469657898,0.23382312059402466,0.9044447541236877,0.8997815251350403
16,0.22013671696186066,0.22906017303466797,0.9067246317863464,0.9071435332298279
17,0.21526934206485748,0.2392314374446869,0.9083870649337769,0.895744264125824
18,0.2157193273305893,0.2231157273054123,0.9083395600318909,0.9066210985183716
19,0.21101295948028564,0.22488844394683838,0.9105033874511719,0.90467369556427
20,0.20996053516864777,0.2226051539182663,0.9112897515296936,0.9083309769630432
21,0.20667578279972076,0.21931205689907074,0.9122713208198547,0.9123681783676147
22,0.20385542511940002,0.2719307839870453,0.9141501784324646,0.8879547715187073
23,0.20328396558761597,0.23224718868732452,0.9138176441192627,0.9003514647483826
24,0.19993077218532562,0.22517244517803192,0.9155170321464539,0.9108483195304871
25,0.1984027922153473,0.23682616651058197,0.9170317053794861,0.9041037559509277
26,0.19603855907917023,0.24148954451084137,0.9177969694137573,0.9054811596870422
27,0.1939454972743988,0.24998073279857635,0.9182191491127014,0.8961242437362671
28,0.19183069467544556,0.24958603084087372,0.9202404618263245,0.8993540406227112
29,0.19064581394195557,0.28945425152778625,0.9202985167503357,0.8867673873901367
30,0.1877451241016388,0.23040133714675903,0.9218500852584839,0.9064785838127136
